Ward code,Ward name,Predicted_Crime_Count,Alpha (Coverage Factor),Allocated_Officers_Continuous,Allocated_Officers_Rounded
E05013810,Abbey,1.5252808988764048,5.143249626333184,200.0,200
E05013808,West End,38.88592126192162,5.143249626333184,200.0,200
E05013806,St James's,33.49121944965761,5.143249626333184,172.2537019198942,172
E09000001,City of London,28.007984184674275,5.143249626333184,144.0520541921717,144
E05013662,Holborn & Covent Garden,26.249545052772007,5.143249626333184,135.00796278408572,135
E05013801,Marylebone,25.92294971301748,5.143249626333184,133.32820142493108,133
E05013793,Bayswater,24.99999999999573,5.143249626333184,128.58124065830765,129
E05009377,Hoxton East & Shoreditch,24.49373881932021,5.143249626333184,125.9774130299713,126
E05009333,Spitalfields & Banglatown,21.00358422939068,5.143249626333184,108.02667673947117,108
E05011095,Borough & Bankside,20.55030330094984,5.143249626333184,105.69533977364387,106
E05011468,Fairfield,19.36776951951988,5.143249626333184,99.61327334417787,100
E05011115,St Giles,18.92613636362175,5.143249626333184,97.34184378012847,97
E05011107,North Walworth,18.499396250145107,5.143249626333184,95.14701285094834,95
E05014118,Waterloo & South Bank,17.806218905006673,5.143249626333184,91.58182872958245,92
E05013588,Crouch End,17.673784633557847,5.143249626333184,90.90068621243958,91
E05011102,Faraday,17.118831855119247,5.143249626333184,88.0464255421027,88
E05013653,Bloomsbury,16.68857160899094,5.143249626333184,85.83348969197725,86
E05011116,South Bermondsey,16.267167892081343,5.143249626333184,83.66610518244654,84
E05013707,Junction,16.03122137494818,5.143249626333184,82.45257334636679,82
E05011104,London Bridge & West Bermondsey,15.899510878907725,5.143249626333184,81.77515338682257,82
E05014082,Greenwich Peninsula,16.03316853997376,5.143249626333184,82.46258810215701,82
E05013633,Colindale South,15.440111058093365,5.143249626333184,79.41234543008157,79
E05013637,Edgware,15.052083333333332,5.143249626333184,77.41662197970261,77
E05011239,Clayhall,14.724238775185142,5.143249626333184,75.73043557851157,76
E05013582,Wood End,14.598743104946708,5.143249626333184,75.08498001945131,75
E05013569,Hayes Town,14.303811601485064,5.143249626333184,73.56807367447833,74
E05013592,Highgate,14.125544166056672,5.143249626333184,72.65119975382387,73
